Date,Three_Component_Index,News_Based_Policy_Uncert_Index
1997-03-01,75.01231384,70.45269012
1997-04-01,75.4542923,71.10443115
1997-05-01,73.45812988,75.86949921
1997-06-01,78.48297882,84.47803497
1997-07-01,73.89486694,76.70619965
1997-08-01,63.8098793,58.91501999
1997-09-01,61.15956116,54.41430283
1997-10-01,83.65215302,92.9295578
1997-11-01,78.39389038,85.98280334
1997-12-01,88.74448395,103.6995239
1998-01-01,91.04062653,107.9537582
1998-02-01,88.81943512,101.1494675
1998-03-01,78.38832092,83.3476181
1998-04-01,73.20014191,74.45728302
1998-05-01,75.85511017,80.12715149
1998-06-01,76.28634644,80.88773346
1998-07-01,88.17700958,101.4185181
1998-08-01,101.4080811,130.467041
1998-09-01,123.9614716,169.0372772
1998-10-01,109.8813477,145.0232391
1998-11-01,92.94631958,113.5047455
1998-12-01,91.40618134,110.8949814
1999-01-01,98.64504242,123.3228455
1999-02-01,82.3835907,94.99628448
1999-03-01,66.00053406,67.02757263
1999-04-01,67.53295135,69.7878952
1999-05-01,67.08853149,64.77645874
1999-06-01,73.01111603,74.92562866
1999-07-01,79.81311798,86.52993774
1999-08-01,69.55317688,77.02532959
1999-09-01,69.81623077,77.49834442
1999-10-01,62.71154785,65.33708191
1999-11-01,82.06382751,76.31718445
1999-12-01,83.80947113,79.32242584
2000-01-01,89.20153809,88.98869324
2000-02-01,77.60139465,73.36519623
2000-03-01,77.54830933,73.29862213
2000-04-01,76.05922699,70.5997467
2000-05-01,97.98620605,118.1432114
2000-06-01,92.96501923,109.5842285
2000-07-01,79.44697571,86.65835571
2000-08-01,66.58133698,58.90645981
2000-09-01,75.14165497,73.55099487
2000-10-01,84.66172791,89.91345215
2000-11-01,125.067543,166.1840515
2000-12-01,115.2687225,149.4485168
2001-01-01,111.4160385,142.6141205
2001-02-01,110.9178467,128.6256409
2001-03-01,116.026947,137.374176
2001-04-01,122.6734085,148.7580109
2001-05-01,100.4290161,117.4362564
2001-06-01,86.39027405,93.46123505
2001-07-01,102.1318512,120.2945938
2001-08-01,84.28912354,95.39997101
2001-09-01,188.059494,272.7644958
2001-10-01,173.1433716,247.294281
2001-11-01,130.5756378,172.4888306
2001-12-01,117.2365875,149.7089386
2002-01-01,116.8374557,148.4497375
2002-02-01,87.60068512,104.609436
2002-03-01,83.44042969,97.51299286
2002-04-01,88.56610107,106.16465
2002-05-01,86.29885864,98.64002991
2002-06-01,93.61022186,111.1499481
2002-07-01,110.3051682,139.6611328
2002-08-01,116.0148239,136.1190643
2002-09-01,124.0431442,149.8481903
2002-10-01,111.8859711,128.9736176
2002-11-01,123.2843781,162.221405
2002-12-01,122.2216721,160.4113312
2003-01-01,138.9533997,185.5916138
2003-02-01,126.7277374,161.7597656
2003-03-01,163.5238037,224.6472015
2003-04-01,135.6275482,176.5798492
2003-05-01,102.6198196,122.3098221
2003-06-01,95.82730103,110.695549
2003-07-01,91.74150848,103.7482452
2003-08-01,95.67181396,91.71417236
2003-09-01,106.1157608,109.5539551
2003-10-01,88.0437851,78.58598328
2003-11-01,84.91823578,78.6960907
2003-12-01,91.73699188,90.34359741
2004-01-01,96.56645966,88.27758789
2004-02-01,99.45729828,88.90148163
2004-03-01,96.78946686,84.3309021
2004-04-01,94.11528015,79.72691345
2004-05-01,92.32118225,97.2080307
2004-06-01,85.34597778,85.27448273
2004-07-01,87.54418945,88.95649719
2004-08-01,85.92586517,84.44986725
2004-09-01,100.0118866,108.5095825
2004-10-01,105.6951141,118.3414459
2004-11-01,95.24085236,96.69577026
2004-12-01,77.59643555,66.53287506
2005-01-01,73.91847992,66.73433685
2005-02-01,58.95005035,51.69568634
2005-03-01,57.5579567,49.30863571
2005-04-01,74.56597137,78.39586639
2005-05-01,70.50811768,75.09077454
2005-06-01,74.56132507,82.00558472
2005-07-01,68.71644592,71.93954468
2005-08-01,64.39585876,59.61723328
2005-09-01,91.40605927,105.7698593
2005-10-01,76.16368103,79.8299942
2005-11-01,72.21598816,60.06785202
2005-12-01,78.04892731,70.02675629
2006-01-01,79.17534637,75.07923889
2006-02-01,72.69299316,69.491745
2006-03-01,64.22933197,55.00807571
2006-04-01,79.76152802,81.65171814
2006-05-01,70.83625793,67.80979156
2006-06-01,79.49433136,82.58628082
2006-07-01,80.56230927,84.47445679
2006-08-01,72.76996613,71.51509857
2006-09-01,67.0675354,61.75134659
2006-10-01,63.46446609,55.62950897
2006-11-01,62.51984406,49.59912872
2006-12-01,63.3704071,51.03903961
2007-01-01,79.01966858,74.51002502
2007-02-01,57.20262146,50.86001968
2007-03-01,69.88729095,72.52986145
2007-04-01,62.50170135,59.8413887
2007-05-01,74.68186951,71.13732147
2007-06-01,73.29653931,68.7592392
2007-07-01,59.32397842,44.78275299
2007-08-01,89.10404968,90.0072937
2007-09-01,100.7443771,109.8926544
2007-10-01,89.45452881,90.64006805
2007-11-01,102.4411087,106.5661621
2007-12-01,108.5438004,116.9908981
2008-01-01,144.984726,177.0422058
2008-02-01,108.1046906,108.3147354
2008-03-01,111.7123566,114.4745712
2008-04-01,102.196907,98.19770813
2008-05-01,94.28403473,88.6734314
2008-06-01,94.55675507,89.13687897
2008-07-01,109.7889709,115.1027222
2008-08-01,95.87075806,81.16308594
2008-09-01,187.7403107,238.171875
2008-10-01,189.9172821,241.7722778
2008-11-01,148.8425751,162.7133789
2008-12-01,145.9946747,157.8286743
2009-01-01,171.946228,184.8178253
2009-02-01,187.1140289,202.5479584
2009-03-01,166.9033813,167.9912262
2009-04-01,131.8561249,107.9272537
2009-05-01,138.8058472,125.9446259
2009-06-01,130.9334869,112.472641
2009-07-01,126.2821503,104.3551102
2009-08-01,152.5500946,111.1743393
2009-09-01,145.4443665,99.00963593
2009-10-01,138.1305542,86.24175262
2009-11-01,116.1623154,99.77926636
2009-12-01,121.2210236,108.3960953
2010-01-01,149.3592834,136.8638611
2010-02-01,132.798645,116.72155
2010-03-01,137.4700165,124.6875
2010-04-01,137.0773926,123.7022018
2010-05-01,151.1034241,147.7632446
2010-06-01,140.5691528,129.732193
2010-07-01,180.0144501,196.9472351
2010-08-01,147.3090973,127.2281723
2010-09-01,182.146698,186.7412262
2010-10-01,163.4249115,154.7627563
2010-11-01,179.1355743,175.0442657
2010-12-01,165.4078522,151.5533447
2011-01-01,142.1704559,111.4928131
2011-02-01,145.5088959,104.5623627
2011-03-01,174.3543701,153.8417206
2011-04-01,157.4958954,124.8465805
2011-05-01,126.19207,84.54916382
2011-06-01,158.088623,139.0379028
2011-07-01,197.9163513,207.1603088
2011-08-01,245.1267242,283.6655884
2011-09-01,204.6297913,214.4261017
2011-10-01,159.7395782,137.8392487
2011-11-01,166.3390198,143.7145538
2011-12-01,189.3983612,183.088623
2012-01-01,178.2865295,154.4180298
2012-02-01,149.637085,119.4354324
2012-03-01,137.5531158,98.74810791
2012-04-01,136.5966949,96.96967316
2012-05-01,158.5619659,135.879837
2012-06-01,194.6105804,197.460968
2012-07-01,184.8796997,180.8035431
2012-08-01,152.3534546,142.9552917
2012-09-01,175.2770538,182.107193
2012-10-01,165.9444885,166.1284027
2012-11-01,187.4906464,205.8646698
2012-12-01,192.8251648,214.9519501
2013-01-01,157.5333099,199.3589478
2013-02-01,114.6541138,128.5625
2013-03-01,124.9408112,146.1158447
2013-04-01,118.7104797,135.4405823
2013-05-01,104.3045502,109.028038
2013-06-01,114.616127,126.6258545
2013-07-01,94.03990936,91.43748474
2013-08-01,102.7706757,108.7583694
2013-09-01,144.4017792,179.8897247
2013-10-01,171.0222473,225.3733063
2013-11-01,89.90614319,89.91516876
2013-12-01,104.6021194,115.0207443
2014-01-01,93.50074005,107.7051392
2014-02-01,88.9853363,93.36928558
2014-03-01,93.46759796,101.0187302
2014-04-01,91.1180191,96.99343109
2014-05-01,90.39224243,102.0150452
2014-06-01,81.00762177,85.96846771
2014-07-01,76.64490509,78.50600433
2014-08-01,71.262146,63.87733459
2014-09-01,84.33692169,86.21659088
2014-10-01,100.2066498,113.3345795
2014-11-01,88.56003571,93.18595123
2014-12-01,85.1875,87.41532135
2015-01-01,117.1606216,120.5442276
2015-02-01,100.3197403,87.60946655
2015-03-01,105.2181473,95.97896576
2015-04-01,109.6437912,103.5449524
2015-05-01,101.0189514,102.3187027
2015-06-01,108.9527969,115.8802872
2015-07-01,98.91843414,98.73478699
2015-08-01,129.6953125,156.5036163
2015-09-01,138.7216797,171.9326782
2015-10-01,102.8940125,110.7019272
2015-11-01,92.10043335,89.58369446
2015-12-01,99.34261322,101.9634323
2016-01-01,119.0151825,154.8573151
2016-02-01,114.6245575,148.3217773
2016-03-01,104.1908112,130.4901581
2016-04-01,84.25134277,96.413414
2016-05-01,82.0412674,96.22233582
2016-06-01,162.6291199,233.9561157
2016-07-01,121.9646454,164.4583893
2016-08-01,91.8289032,106.8856277
2016-09-01,79.80895996,86.34352875
2016-10-01,92.51783752,108.0641251
2016-11-01,169.3778229,254.1013184
2016-12-01,115.1520462,161.4247742
2017-01-01,134.8695374,195.0406342
2017-02-01,133.3314667,177.77771
2017-03-01,119.7761688,154.6096802
