date,bonds,bonds_global_gov,bonds_global,bonds_em_hc,bonds_em_local,equities_ch,equities_global_dev,equities_em,equities_global_sc,private_equity,infrastructure,ils,gold
31.01.72,0.017430723,0.004922803,0.009222764,0.020225945,0.015092387,0.071211191,0.027102139,0.02674138,,0.027102139,,,0.040865325
29.02.72,0.013272116,0.001080134,0.007954417,0.019357202,0.022494794,0.048014873,0.037393151,0.036710981,,0.037393151,,,0.05162369
31.03.72,-0.006104618,0.001403086,0.010831093,0.006751025,0.000986406,0.018136579,0.005924105,0.005906626,,0.005924105,,,-0.0071246
30.04.72,-0.005900635,0.00037718,-0.001086101,0.005774793,0.016133105,0.005190036,0.021818491,0.021583874,,0.021818491,,,0.02206667
31.05.72,0.004685779,0.003445001,0.004393788,0.01137476,0.007761303,0.065821844,0.015132798,0.01501944,,0.015132798,,,0.10212036
30.06.72,-0.003403408,0.001767555,0.001038919,-0.011330101,-0.03644629,-0.102648956,-0.049497327,-0.050764305,,-0.049497327,,,0.100189304
31.07.72,0.010537512,0.006829623,0.008375665,0.010616228,0.021029286,0.077578655,0.02704371,0.026684491,,0.02704371,,,0.066662864
31.08.72,0.004693864,0.001540968,0.001010429,0.014579039,0.018418031,0.034032627,0.031017354,0.030546037,,0.031017354,,,0.022313405
30.09.72,0.00179882,-0.007690984,-0.012277624,-0.012255202,-0.005965444,1.02E-05,-0.009480245,-0.009525468,,-0.009480245,,,-0.018463872
31.10.72,-0.001620948,0.005731189,0.004396943,0.006018879,0.008007091,-0.008078981,0.010701323,0.010644469,,0.010701323,,,-0.007613209
30.11.72,-0.00782188,0.009270551,0.013478051,0.030240906,0.024793305,-0.040900213,0.045081612,0.04409498,,0.045081612,,,-0.038260023
31.12.72,0.005539,0.000432118,-0.008988495,0.009326401,0.006255328,0.045513564,0.015832005,0.015707986,,0.015832005,,,0.01268309
31.01.73,-0.000749083,0.001183653,-0.00755175,0.00163208,-0.034858796,0.002797719,-0.035722755,-0.036376427,,-0.035722755,,,-0.020313318
28.02.73,0.006162978,-0.003220349,-0.01334796,0.001453709,-0.110885562,-0.065362363,-0.12577122,-0.134413176,,-0.12577122,,,-0.011699566
31.03.73,0.006709527,-0.0003255,-0.005353057,0.000100088,0.030971504,0.009499523,0.031539431,0.031052279,,0.031539431,,,0.157472277
30.04.73,-0.003005294,0.000177174,-0.009773285,-0.025644759,-0.02261996,-0.044438808,-0.047728972,-0.048905591,,-0.047728972,,,0.072203719
31.05.73,0.007344419,-0.004126663,-0.005006399,-0.004354172,-0.044327821,0.048942916,-0.048707919,-0.049934134,,-0.048707919,,,0.071581539
