date,avgSentimentClass,avgSentimentPositive,avgSentimentNegative,avgSentimentNeutral,numberOfEntries
2003-04-21,-0.147717842,0.33966271,0.397025735,0.263311547,2410
2003-04-22,0.003993274,0.374446807,0.353424979,0.272128218,4758
2003-04-23,-0.03945885,0.354742945,0.364985718,0.280271339,6209
2003-04-24,-0.011683034,0.359966913,0.354870856,0.285162237,5906
2003-04-25,-0.128018849,0.328680979,0.390264493,0.281054545,5093
2003-04-28,-0.044618529,0.361183669,0.36226492,0.2765514,5872
2003-04-29,-0.061830386,0.356097433,0.371525803,0.272376758,7747
2003-04-30,-0.063335046,0.34549574,0.367928163,0.286576115,7784
2003-05-01,-0.089084348,0.339696595,0.372855551,0.287447855,4434
2003-05-02,-0.089788371,0.341553026,0.376048961,0.282398029,4867
2003-05-05,-0.069931902,0.359092278,0.368078277,0.272829454,3818
2003-05-06,-0.001713502,0.369762809,0.342244045,0.287993155,5836
2003-05-07,-0.02283105,0.359963669,0.354765815,0.285270522,6132
2003-05-08,-0.087044534,0.338817588,0.372668822,0.288513584,6422
2003-05-09,-0.046130952,0.359262695,0.365015987,0.275721306,4704
2003-05-12,0.028156698,0.375077771,0.334542238,0.290379993,5718
2003-05-13,-0.044438349,0.354004338,0.357903752,0.288091917,7291
2003-05-14,-0.0673657,0.348476304,0.374162441,0.277361256,6962
2003-05-15,-0.040988209,0.353140995,0.360411706,0.286447308,7124
2003-05-16,-0.067003556,0.351029258,0.368747036,0.280223718,5343
2003-05-19,-0.025613079,0.363776996,0.360911508,0.275311501,5505
2003-05-20,-0.06985356,0.345954413,0.369603541,0.284442045,5941
2003-05-21,-0.088963964,0.346707865,0.379710278,0.273581849,6216
2003-05-22,-0.007637086,0.36973561,0.350636282,0.279628109,6547
2003-05-23,-0.099791667,0.344488155,0.375323963,0.280187875,4800
2003-05-26,-0.162593516,0.328136512,0.412540321,0.259323163,2005
2003-05-27,-0.00573991,0.367745651,0.347366225,0.284888131,5575
2003-05-28,0.002608242,0.366201213,0.344056743,0.289742052,5751
2003-05-29,-0.039018135,0.351762099,0.355055058,0.293182851,5459
2003-05-30,-0.044846739,0.349202677,0.36250606,0.288291263,4861
2003-06-02,0.001711157,0.364522397,0.346191697,0.28928591,5844
2003-06-03,-0.041491766,0.353060716,0.35865098,0.288288303,6194
2003-06-04,-0.024267101,0.357442796,0.35363966,0.288917552,6140
2003-06-05,-0.040397665,0.355991362,0.36020326,0.283805391,6337
2003-06-06,-0.004373757,0.35782992,0.350274612,0.291895478,5030
2003-06-09,0.007825371,0.36990412,0.344421209,0.285674669,4856
2003-06-10,-0.016952084,0.361997699,0.34977297,0.288229339,5781
2003-06-11,-0.022243714,0.358363894,0.342278923,0.299357178,6204
2003-06-12,-0.043042271,0.348057278,0.361325729,0.290616995,6482
2003-06-13,-0.104555639,0.328300208,0.384489107,0.287210683,5356
2003-06-16,0.02435724,0.36692384,0.34410285,0.28897333,5912
2003-06-17,0.007548988,0.373686005,0.344405513,0.28190848,6226
2003-06-18,0.005219377,0.367651269,0.3412178,0.291130948,6131
2003-06-19,-0.056620518,0.351077286,0.361594097,0.287328616,5634
2003-06-20,-0.056974858,0.345221845,0.356155733,0.298622442,4932
2003-06-23,-0.008079324,0.363595015,0.351828737,0.284576245,5446
2003-06-24,-0.26239782,0.31252749,0.448999386,0.23847314,3670
2003-06-25,-0.104978355,0.334130755,0.379599655,0.286269595,6468
2003-06-26,-0.092073431,0.34448463,0.375063355,0.280452003,7027
2003-06-27,-0.074855664,0.339402263,0.371286408,0.289311339,5023
2003-06-30,0.003339456,0.366356137,0.338623666,0.295020202,5989
2003-07-01,-0.019050859,0.358357301,0.351171703,0.290471004,5879
2003-07-02,-0.00514776,0.367498484,0.347394765,0.285106743,5245
